Date,Price,Qty,TotalAmount,StoreName,GroupStore,Type,Latitude,Longitude,Product Name,Age,Gender,Marital Status,Income,Day,Month,Year
2022-01-01,7500,4,30000,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers,36,0,Married,"10,53",1,1,2022
2022-01-01,10000,7,70000,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Yoghurt,44,1,Married,"14,58",1,1,2022
2022-01-01,8800,4,35200,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar,27,1,Single,"0,18",1,1,2022
2022-01-01,8800,7,61600,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar,48,1,Married,"12,57",1,1,2022
2022-01-01,10000,1,10000,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt,33,0,Married,"6,95",1,1,2022
2022-01-01,15000,1,15000,Bonafid,Gita,General Trade,"-7,250445","112,768845",Cheese Stick,19,1,Single,0,1,1,2022
2022-01-01,16000,2,32000,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat,36,0,Married,"7,95",1,1,2022
2022-01-01,4200,3,12600,Buana,Buana,General Trade,"-1,26916","116,825264",Thai Tea,44,1,Married,"13,48",1,1,2022
2022-01-01,10000,6,60000,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt,45,0,Married,"15,03",1,1,2022
2022-01-01,9400,2,18800,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Coffee Candy,49,1,Married,"8,81",1,1,2022
2022-01-01,12000,4,48000,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Potato Chip,36,0,Single,"3,7",1,1,2022
2022-01-01,9400,2,18800,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Coffee Candy,43,1,Married,"5,69",1,1,2022
2022-01-01,3200,6,19200,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Ginger Candy ,34,0,Married,"4,36",1,1,2022
2022-01-02,7500,4,30000,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Crackers,53,0,Married,"17,2",2,1,2022
2022-01-02,7500,2,15000,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Crackers,35,0,Married,"9,01",2,1,2022
2022-01-02,9400,4,37600,Bonafid,Gita,General Trade,"-7,250445","112,768845",Coffee Candy,34,0,Married,"10,96",2,1,2022
2022-01-02,15000,2,30000,Buana,Buana,General Trade,"-1,26916","116,825264",Cheese Stick,53,1,Married,"13,65",2,1,2022
2022-01-02,18000,3,54000,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Cashew,45,0,Married,"8,03",2,1,2022
2022-01-02,18000,3,54000,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Cashew,29,1,Single,"4,74",2,1,2022
2022-01-02,15000,2,30000,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Cheese Stick,58,1,Married,"10,18",2,1,2022
2022-01-02,18000,2,36000,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cashew,47,0,Married,"13,6",2,1,2022
2022-01-02,9400,2,18800,Buana Indah,Buana,General Trade,"3,316694","114,590111",Coffee Candy,47,0,Married,"17,99",2,1,2022
2022-01-02,18000,3,54000,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cashew,37,0,Married,"9,53",2,1,2022
2022-01-02,3200,6,19200,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Ginger Candy ,32,0,Married,"10,62",2,1,2022
2022-01-02,4200,2,8400,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Thai Tea,44,1,Married,"9,57",2,1,2022
2022-01-02,8800,7,61600,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Choco Bar,20,1,Single,"3,28",2,1,2022
2022-01-02,9400,5,47000,Bonafid,Gita,General Trade,"-7,250445","112,768845",Coffee Candy,30,1,Married,"3,96",2,1,2022
2022-01-02,8800,10,88000,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Choco Bar,33,1,Married,"9,94",2,1,2022
2022-01-02,15000,2,30000,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cheese Stick,45,0,Married,"6,36",2,1,2022
2022-01-03,7500,4,30000,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers,41,0,Married,"20,01",3,1,2022
2022-01-03,16000,1,16000,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Oat,20,0,Single,0,3,1,2022
2022-01-03,3200,6,19200,Buana,Buana,General Trade,"-1,26916","116,825264",Ginger Candy ,59,0,Married,"9,85",3,1,2022
2022-01-03,4200,5,21000,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Thai Tea,41,1,Married,"10,34",3,1,2022
2022-01-03,4200,4,16800,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea,29,0,Married,"3,52",3,1,2022
2022-01-03,15000,4,60000,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick,35,1,Married,"8,14",3,1,2022
