TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,StoreName,GroupStore,Type,Latitude,Longitude,Product Name,Age,Gender,Marital Status,Income,Day,Month,Year
TR11369,328,2022-01-01,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers,36,0,Married,"10,53",1,1,2022
TR16356,165,2022-01-01,P9,10000,7,70000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Yoghurt,44,1,Married,"14,58",1,1,2022
TR1984,183,2022-01-01,P1,8800,4,35200,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar,27,1,Single,"0,18",1,1,2022
TR35256,160,2022-01-01,P1,8800,7,61600,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar,48,1,Married,"12,57",1,1,2022
TR41231,386,2022-01-01,P9,10000,1,10000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt,33,0,Married,"6,95",1,1,2022
TR51675,283,2022-01-01,P10,15000,1,15000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Cheese Stick,19,1,Single,0,1,1,2022
TR54287,51,2022-01-01,P8,16000,2,32000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat,36,0,Married,"7,95",1,1,2022
TR67455,49,2022-01-01,P5,4200,3,12600,13,Buana,Buana,General Trade,"-1,26916","116,825264",Thai Tea,44,1,Married,"13,48",1,1,2022
TR73041,222,2022-01-01,P9,10000,6,60000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt,45,0,Married,"15,03",1,1,2022
TR7596,270,2022-01-01,P7,9400,2,18800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Coffee Candy,49,1,Married,"8,81",1,1,2022
TR76340,287,2022-01-01,P4,12000,4,48000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Potato Chip,36,0,Single,"3,7",1,1,2022
TR97336,233,2022-01-01,P7,9400,2,18800,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Coffee Candy,43,1,Married,"5,69",1,1,2022
TR99839,123,2022-01-01,P2,3200,6,19200,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Ginger Candy ,34,0,Married,"4,36",1,1,2022
TR14355,203,2022-01-02,P3,7500,4,30000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Crackers,53,0,Married,"17,2",2,1,2022
TR16534,421,2022-01-02,P3,7500,2,15000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Crackers,35,0,Married,"9,01",2,1,2022
TR2045,32,2022-01-02,P7,9400,4,37600,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Coffee Candy,34,0,Married,"10,96",2,1,2022
TR20925,159,2022-01-02,P10,15000,2,30000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Cheese Stick,53,1,Married,"13,65",2,1,2022
TR26678,321,2022-01-02,P6,18000,3,54000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Cashew,45,0,Married,"8,03",2,1,2022
TR29436,335,2022-01-02,P6,18000,3,54000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Cashew,29,1,Single,"4,74",2,1,2022
TR30993,14,2022-01-02,P10,15000,2,30000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Cheese Stick,58,1,Married,"10,18",2,1,2022
TR33449,18,2022-01-02,P6,18000,2,36000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cashew,47,0,Married,"13,6",2,1,2022
TR34291,333,2022-01-02,P7,9400,2,18800,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Coffee Candy,47,0,Married,"17,99",2,1,2022
TR3533,24,2022-01-02,P6,18000,3,54000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cashew,37,0,Married,"9,53",2,1,2022
TR46701,48,2022-01-02,P2,3200,6,19200,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Ginger Candy ,32,0,Married,"10,62",2,1,2022
TR48742,87,2022-01-02,P5,4200,2,8400,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Thai Tea,44,1,Married,"9,57",2,1,2022
TR63499,118,2022-01-02,P1,8800,7,61600,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Choco Bar,20,1,Single,"3,28",2,1,2022
TR66576,250,2022-01-02,P7,9400,5,47000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Coffee Candy,30,1,Married,"3,96",2,1,2022
TR7826,181,2022-01-02,P1,8800,10,88000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Choco Bar,33,1,Married,"9,94",2,1,2022
TR93759,34,2022-01-02,P10,15000,2,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cheese Stick,45,0,Married,"6,36",2,1,2022
TR10346,322,2022-01-03,P3,7500,4,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers,41,0,Married,"20,01",3,1,2022
TR13,285,2022-01-03,P8,16000,1,16000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Oat,20,0,Single,0,3,1,2022
TR15573,91,2022-01-03,P2,3200,6,19200,13,Buana,Buana,General Trade,"-1,26916","116,825264",Ginger Candy ,59,0,Married,"9,85",3,1,2022
TR21783,78,2022-01-03,P5,4200,5,21000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Thai Tea,41,1,Married,"10,34",3,1,2022
TR25759,218,2022-01-03,P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea,29,0,Married,"3,52",3,1,2022
TR26782,237,2022-01-03,P10,15000,4,60000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick,35,1,Married,"8,14",3,1,2022
TR27698,178,2022-01-03,P6,18000,3,54000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Cashew,43,0,Married,"9,58",3,1,2022
TR31585,144,2022-01-03,P2,3200,3,9600,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Ginger Candy ,34,0,Married,"10,01",3,1,2022
TR36491,117,2022-01-03,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers,45,1,Married,"12,55",3,1,2022
TR36846,159,2022-01-03,P9,10000,2,20000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Yoghurt,53,1,Married,"13,65",3,1,2022
TR40890,224,2022-01-03,P6,18000,3,54000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Cashew,29,0,Married,"3,31",3,1,2022
TR45933,406,2022-01-03,P4,12000,2,24000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Potato Chip,38,1,Married,"8,64",3,1,2022
TR45980,7,2022-01-03,P3,7500,3,22500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Crackers,31,0,Married,"4,57",3,1,2022
TR46171,21,2022-01-03,P10,15000,3,45000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cheese Stick,52,0,Married,"12,72",3,1,2022
TR54686,106,2022-01-03,P2,3200,5,16000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Ginger Candy ,24,0,Single,"6,79",3,1,2022
TR74189,202,2022-01-03,P7,9400,3,28200,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Coffee Candy,28,0,Married,"4,53",3,1,2022
TR86483,45,2022-01-03,P8,16000,3,48000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Oat,53,0,Married,"9,25",3,1,2022
TR9341,202,2022-01-03,P7,9400,5,47000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Coffee Candy,28,0,Married,"4,53",3,1,2022
TR14593,311,2022-01-04,P6,18000,4,72000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cashew,61,1,Married,"7,64",4,1,2022
TR14970,136,2022-01-04,P10,15000,1,15000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Cheese Stick,28,1,Married,"2,96",4,1,2022
TR2102,23,2022-01-04,P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea,57,1,Married,"12,56",4,1,2022
TR22313,194,2022-01-04,P2,3200,4,12800,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy ,31,1,Married,"4,33",4,1,2022
TR37381,243,2022-01-04,P10,15000,2,30000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick,38,0,Married,"3,34",4,1,2022
TR41140,78,2022-01-04,P9,10000,2,20000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Yoghurt,41,1,Married,"10,34",4,1,2022
TR45300,351,2022-01-04,P6,18000,4,72000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Cashew,45,1,Married,"18,34",4,1,2022
TR48461,117,2022-01-04,P5,4200,2,8400,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Thai Tea,45,1,Married,"12,55",4,1,2022
TR49210,189,2022-01-04,P4,12000,1,12000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Potato Chip,59,1,Single,"5,15",4,1,2022
TR50516,304,2022-01-04,P10,15000,2,30000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Cheese Stick,34,0,Single,"8,55",4,1,2022
TR51256,433,2022-01-04,P9,10000,1,10000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt,48,1,Married,"11,97",4,1,2022
TR57427,157,2022-01-04,P5,4200,3,12600,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Thai Tea,44,0,Single,"2,52",4,1,2022
TR64821,117,2022-01-04,P3,7500,1,7500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers,45,1,Married,"12,55",4,1,2022
TR68280,36,2022-01-04,P8,16000,1,16000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Oat,32,1,Married,"10,4",4,1,2022
TR86686,403,2022-01-04,P5,4200,2,8400,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Thai Tea,30,0,Married,"4,06",4,1,2022
TR88044,62,2022-01-04,P5,4200,5,21000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Thai Tea,51,1,Married,"13,62",4,1,2022
TR90452,440,2022-01-04,P2,3200,5,16000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Ginger Candy ,40,0,Married,"3,47",4,1,2022
TR98969,355,2022-01-04,P8,16000,1,16000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Oat,19,1,Single,0,4,1,2022
TR10602,22,2022-01-05,P5,4200,3,12600,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Thai Tea,34,0,Single,"9,91",5,1,2022
TR24114,182,2022-01-05,P8,16000,1,16000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Oat,44,1,Married,"14,57",5,1,2022
TR35280,167,2022-01-05,P9,10000,1,10000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Yoghurt,28,1,Married,"2,91",5,1,2022
TR36079,297,2022-01-05,P5,4200,4,16800,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Thai Tea,41,1,Married,"12,13",5,1,2022
TR43714,416,2022-01-05,P7,9400,2,18800,13,Buana,Buana,General Trade,"-1,26916","116,825264",Coffee Candy,27,1,Married,"3,43",5,1,2022
TR46041,7,2022-01-05,P9,10000,5,50000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Yoghurt,31,0,Married,"4,57",5,1,2022
TR60242,304,2022-01-05,P4,12000,1,12000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Potato Chip,34,0,Single,"8,55",5,1,2022
TR61100,278,2022-01-05,P8,16000,2,32000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat,31,1,Married,"9,76",5,1,2022
TR61437,123,2022-01-05,P1,8800,4,35200,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Choco Bar,34,0,Married,"4,36",5,1,2022
TR84132,22,2022-01-05,P9,10000,7,70000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Yoghurt,34,0,Single,"9,91",5,1,2022
TR11638,67,2022-01-06,P2,3200,5,16000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Ginger Candy ,19,0,Single,0,6,1,2022
TR20374,282,2022-01-06,P2,3200,5,16000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Ginger Candy ,55,0,Married,"11,38",6,1,2022
TR23183,84,2022-01-06,P4,12000,4,48000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Potato Chip,54,0,Married,"18,12",6,1,2022
TR24126,30,2022-01-06,P2,3200,3,9600,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Ginger Candy ,37,1,Single,"2,26",6,1,2022
TR32850,306,2022-01-06,P2,3200,3,9600,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Ginger Candy ,49,0,Married,"16,52",6,1,2022
TR40523,176,2022-01-06,P3,7500,4,30000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers,54,1,Married,"18,32",6,1,2022
